trip_id,stop_id,stop_sequence
2004-I,STOP_080,1
2004-I,STOP_079,2
2004-I,STOP_078,3
2004-I,STOP_077,4
2004-I,STOP_076,5
2004-I,STOP_075,6
2004-I,STOP_074,7
2004-I,STOP_073,8
2004-I,STOP_072,9
2004-I,STOP_071,10
2004-I,STOP_070,11
2004-I,STOP_069,12
2004-I,STOP_068,13
2004-I,STOP_067,14
2004-I,STOP_066,15
2004-I,STOP_065,16
2004-I,STOP_064,17
2004-I,STOP_063,18
2004-I,STOP_062,19
2004-I,STOP_061,20
2004-I,STOP_060,21
2004-I,STOP_059,22
2004-I,STOP_058,23
2004-I,STOP_057,24
2004-I,STOP_056,25
2004-I,STOP_055,26
2004-I,STOP_054,27
2004-I,STOP_053,28
2004-I,STOP_052,29
2004-I,STOP_051,30
2004-I,STOP_050,31
2004-I,STOP_049,32
2004-I,STOP_048,33
2004-I,STOP_047,34
2004-I,STOP_046,35
2004-I,STOP_045,36
2004-I,STOP_044,37
2004-I,STOP_043,38
2004-I,STOP_042,39
2004-I,STOP_041,40
2004-I,STOP_040,41
2004-I,STOP_039,42
2004-I,STOP_038,43
2004-I,STOP_037,44
2004-I,STOP_036,45
2004-I,STOP_035,46
2004-I,STOP_034,47
2004-I,STOP_033,48
2004-I,STOP_032,49
2004-I,STOP_031,50
2004-I,STOP_030,51
2004-I,STOP_029,52
2004-I,STOP_028,53
2004-I,STOP_027,54
2004-I,STOP_026,55
2004-I,STOP_025,56
2004-I,STOP_024,57
2004-I,STOP_023,58
2004-I,STOP_022,59
2004-I,STOP_021,60
2004-I,STOP_020,61
2004-I,STOP_019,62
2004-I,STOP_018,63
2004-I,STOP_017,64
2004-I,STOP_016,65
2004-I,STOP_015,66
2004-I,STOP_014,67
2004-I,STOP_013,68
2004-I,STOP_012,69
2004-I,STOP_011,70
2004-I,STOP_010,71
2004-I,STOP_009,72
2004-I,STOP_008,73
2004-I,STOP_007,74
2004-I,STOP_006,75
2004-I,STOP_005,76
2004-I,STOP_004,77
2004-I,STOP_003,78
2004-I,STOP_002,79
2004-I,STOP_001,80
310-V,STOP_081,1
310-V,STOP_082,2
310-V,STOP_083,3
310-V,STOP_084,4
310-V,STOP_085,5
310-V,STOP_086,6
310-V,STOP_087,7
310-V,STOP_088,8
310-V,STOP_048,9
310-V,STOP_049,10
310-V,STOP_050,11
310-V,STOP_051,12
