stop_id,stop_name,stop_lat,stop_lon
STOP_001,"Rod.P.Piloto | Plataforma D (SEMIURBANO)",-15.793905,-47.883359
STOP_002,"Eixo L Sul | Banco Central (SEMIURBANO)",-15.802995,-47.886170
STOP_003,"Eixo L Sul | SQS 203 (SEMIURBANO)",-15.808255,-47.890397
STOP_004,"Eixo L Sul | SQS 205 (SEMIURBANO)",-15.813019,-47.895005
STOP_005,"Eixo L Sul | SQS 207 (SEMIURBANO)",-15.817344,-47.900155
STOP_006,"Eixo L Sul | SQS 209 (SEMIURBANO)",-15.821293,-47.905626
STOP_007,"Eixo L Sul | SQS 211 (SEMIURBANO)",-15.825091,-47.910969
STOP_008,"Eixo L Sul | SQS 213 (SEMIURBANO)",-15.828993,-47.916371
STOP_009,"Eixo L Sul | SQS 215 (SEMIURBANO)",-15.832889,-47.921736
STOP_010,"ESPM | Linea Vitta",-15.841338,-47.921333
STOP_011,"L4 Sul | Vila Telebrasília «OPOSTO»",-15.845162,-47.923093
STOP_012,"EPGU | Zoológico / Setor Hípico",-15.843650,-47.941632
STOP_013,"EPIA | Premier Nissan & Renault",-15.852453,-47.955274
STOP_014,"EPIA | Candangolândia (SENTIDO GOIÁS)",-15.857603,-47.956175
STOP_015,"EPIA | Vila Cauhy",-15.870065,-47.958106
STOP_016,"EPIA | Estação BRT Park Way",-15.880627,-47.960182
STOP_017,"EPIA | SMPW Tr. 02 (Qd. 07 Conj. 2)",-15.891055,-47.961550
STOP_018,"Epia Sul | Rei Do Coco",-15.901874,-47.963272
STOP_019,"Epia Sul | Smpw Trecho 02 - Qd 08 Cj 1",-15.911887,-47.968218
STOP_020,"Epia Sul | Smpw Trecho 02 - Qd 08 Cj 3",-15.922994,-47.975584
STOP_021,"Epia Sul | Smpw Trecho 2 - Qd. 08",-15.932517,-47.981962
STOP_022,"Epia Sul | Catetinho (Lado Oposto)",-15.942199,-47.988480
STOP_023,"Br-040 | Polícia Rodoviária Federal",-15.979215,-47.989569
STOP_024,"BR-040 | Residencial Santos Dumon",-15.992432,-47.986506
STOP_025,"Br-040 | Expansão Da Santa Maria",-16.010949,-47.982659
STOP_026,"Br-040 | Ciab - Marinha (Lado Oposto)",-16.016632,-47.981490
STOP_027,"Br 040 | Total Ville / Monumento Solaris",-16.024644,-47.979848
STOP_028,"Br-040 | Polo Jk (Lado Oposto)",-16.031790,-47.978904
STOP_029,"Br-040 | Rancho Bakuk",-16.040952,-47.980181
STOP_030,"Br-040 | União Química (Lado Oposto)",-16.044813,-47.980760
